No.,ID_Signal,Signal_Name,Signal_Type,Signal_Value
0,X1,Y axis front position,Bit,
1,X2,Y axis origin position,Bit,
2,X3,Y axis back position,Bit,
3,X11,Jig out sensor,Bit,
4,X17,Spraying up position,Bit,
5,X20,Spraying lower position,Bit,
6,Y0,Y axis pulse,Bit,
7,Y2,#1 pump start,Bit,
8,Y5,Y axis direction,Bit,
9,Y6,Spraying up and down,Bit,
10,Y11,8#spraying valve,Bit,
11,Y12,9#spraying valve,Bit,
12,Y13,Spraying position,Bit,
13,Y14,10#spraying valve,Bit,
14,Y15,7#spraying valve,Bit,
15,Y16,Air blow valve,Bit,
16,Y17,Alarm,Bit,
17,Y90,Y axis ready,Bit,
18,Y92,1#spraying valve,Bit,
19,Y93,2#spraying valve,Bit,
20,Y94,3#spraying valve,Bit,
21,Y95,4#spraying valve,Bit,
22,Y96,5#spraying valve,Bit,
23,Y97,6#spraying valve,Bit,
